,measure,lm,nn,gps,dr,sci,cgct_gps,rf,cgct_rf,cf,cgct_cf
0,run 1,0.08177533596924168,0.10555433201818194,0.08625893268891895,1.8598511224246546,4.291385186356781,0.07734493537426192,0.08119038133579337,0.07984671502290375,0.08129825266971191,0.08342408099027274
1,run 2,0.08177533596924168,0.13746269551882134,0.08625893268891895,0.126932187636039,1.5065888350950147,0.07823802525888715,0.08119038133579337,0.08254002429594237,0.0824045258756771,0.07813353816414285
2,run 3,0.08177533596924168,0.09873886313946721,0.08625893268891895,1.3367039052510028,6.982759518123315,0.0782251637889988,0.08119038133579339,0.08327719699992865,0.0809304904034582,0.07919561617476557
3,run 4,0.08177533596924168,0.11750781949547047,0.08625893268891895,0.08588140769064237,0.26411349253494215,0.0790724061563047,0.08119038133579337,0.0836147356079664,0.08190825751663419,0.0808056269286348
4,run 5,0.08177533596924168,0.09721101825272538,0.08625893268891895,0.10225102201235435,4.840463910742056,0.07868125475064597,0.08119038133579339,0.07978514012795578,0.08233131460339517,0.07973480113427063
5,run 6,0.08177533596924168,0.08111535714291246,0.08625893268891895,0.22226407912613355,2.0393430087250777,0.07825728931431666,0.08119038133579339,0.08129427697660581,0.07956039626286561,0.0842364967537264
6,run 7,0.08177533596924168,0.18681645230583907,0.08625893268891895,0.2674137052607818,1.5190814785926219,0.07811126242534006,0.08119038133579337,0.079374216444078,0.08189883130800164,0.08250096457340025
7,run 8,0.08177533596924168,0.11869430300559324,0.08625893268891895,0.22972280262127792,1.2474264435478961,0.07826946686050865,0.08119038133579339,0.07956713978124602,0.08018210316640215,0.08971025073851087
8,run 9,0.08177533596924168,0.1460322493916603,0.08625893268891895,0.2304486014645673,2.1972546650568874,0.07840263577406016,0.08119038133579339,0.08239006717531293,0.08123834878342073,0.08359234796573901
9,run 10,0.08177533596924168,0.1670401395091906,0.08625893268891895,0.739396720699545,4.415719963805886,0.07865800122293529,0.08119038133579337,0.07983754067710658,0.07908540069438896,0.08063298772853221
10,mean,0.08177533596924168,0.12561732297798622,0.08625893268891895,0.5200865554186997,2.9304136502580476,0.07832604409262593,0.08119038133579337,0.08115270531090463,0.08108379212839557,0.08219667111519954
11,median,0.08177533596924168,0.11810106125053185,0.08625893268891895,0.2300857020429226,2.1182988368909825,0.07826337808741266,0.08119038133579337,0.08057049599975477,0.08126830072656632,0.08165329575101753
12,sd,0.0,0.03340704483940406,0.0,0.6099511810834347,2.0928567518897627,0.0004513991334404417,1.0343892305196971e-17,0.0016677783919160018,0.0011482068517960436,0.003335301158680728
